Time,Numerical solution,Exact solution,Error
0.7800000000000005,0.6210463962882458,0.62577951388648,0.004733117598234249
0.7900000000000005,0.6082629986780179,0.6131068422387727,0.004843843560754735
0.8000000000000005,0.5950398851857001,0.5999999999999993,0.004960114814299255
0.8100000000000005,0.5813471998739178,0.5864298764558293,0.005082676581911527
0.8200000000000005,0.5671511019287485,0.5723635208501667,0.005212418921418216
0.8300000000000005,0.5524129759622941,0.5577633906953728,0.005350414733078734
0.8400000000000005,0.5370884280007859,0.5425863986500207,0.00549797064923474
0.8500000000000005,0.5211259913540804,0.526782687642636,0.005656696288555585
0.8600000000000005,0.5044654326537031,0.510294032886922,0.00582860023321885
0.8700000000000006,0.4870355321520889,0.4930517214248411,0.006016189272752215
0.8800000000000006,0.4687509237087534,0.47497368348151564,0.006222759772762265
